Time [s],Velocity [km/h],Throttle [%],Battery Temperature [C],Ambient Temperature [C],Heating Power CAN [kW],AirCon Power [kW],SoC [%]
1657.0,34.38750363636364,30.811566363636363,21.727272727272727,21.90909090909091,0.5818181818181819,0.3054545454545455,65.71818181818182
1658.0,34.90380181818182,31.23909090909091,21.727272727272727,21.87527818181818,0.5818181818181819,0.3072727272727273,65.7090909090909
1659.0,35.200909090909086,31.133801818181816,21.727272727272727,21.863636363636363,0.5818181818181819,0.3127272727272727,65.71604545454545
1660.0,35.37874909090909,31.40727272727273,21.727272727272727,21.845454545454547,0.5818181818181819,0.3072727272727272,65.7
1661.0,35.354262727272726,27.128042727272728,21.727272727272727,21.818181818181817,0.5818181818181819,0.3072727272727273,65.7
1662.0,34.613243636363634,28.762727272727272,21.727272727272727,21.818181818181817,0.56,0.31,65.7
1663.0,34.357641818181825,29.188181818181818,21.727272727272727,21.818181818181817,0.5454545454545454,0.2927272727272727,65.7
1664.0,34.018986363636365,32.64623818181818,21.727272727272727,21.818181818181817,1.0472727272727271,0.2927272727272727,65.69090909090909
1665.0,34.766538181818184,31.81993727272728,21.727272727272727,21.799090909090907,0.5454545454545454,0.2945454545454545,65.69090909090909
1666.0,35.68557272727273,31.414553636363635,21.727272727272727,21.77272727272728,0.5454545454545454,0.2918181818181818,65.69090909090909
1667.0,36.25990545454545,31.592751818181817,21.727272727272727,21.77272727272728,0.5454545454545454,0.2963636363636364,65.69090909090909
1668.0,36.649426363636366,31.28643545454545,21.727272727272727,21.77272727272728,0.5454545454545454,0.2927272727272727,65.68181818181819
1669.0,36.93405454545454,31.620000909090912,21.727272727272727,21.77272727272728,0.5454545454545454,0.2936363636363636,65.68181818181819
1670.0,37.14824545454545,31.465,21.727272727272727,21.77272727272728,0.5381818181818182,0.2936363636363636,65.68181818181819
1671.0,37.45517818181818,27.43902909090909,21.727272727272727,21.77272727272728,0.5381818181818182,0.2945454545454545,65.68181818181819
1672.0,36.83126636363637,24.35776636363636,21.771818181818183,21.77272727272728,0.5381818181818182,0.2945454545454545,65.68181818181819
1673.0,35.47522363636364,22.87444090909091,21.818181818181817,21.77272727272728,0.5381818181818182,0.3236363636363636,65.67642090909091
1674.0,34.28722,26.14727272727273,21.818181818181817,21.75454545454545,1.04,0.3418181818181818,65.67272727272727
1675.0,33.80717909090909,31.66823363636364,21.818181818181817,21.727272727272727,0.5381818181818182,0.3,65.65454545454546
1676.0,34.24512090909091,31.888831818181817,21.818181818181817,21.727272727272727,0.5381818181818182,0.2954545454545454,65.64545454545454
1677.0,34.31079636363636,26.311607272727272,21.818181818181817,21.727272727272727,0.5381818181818182,0.2963636363636364,65.63636363636364
1678.0,33.65381818181818,27.351398181818183,21.818181818181817,21.727272727272727,0.5381818181818182,0.3472727272727273,65.63636363636364
1679.0,33.14688727272728,29.930000000000003,21.818181818181817,21.74203272727273,1.0545454545454545,0.3554545454545454,65.63181818181819
1680.0,33.32544363636364,29.70322909090909,21.818181818181817,21.77272727272728,0.56,0.3172727272727273,65.63636363636364
1681.0,33.36207363636364,29.90824363636364,21.818181818181817,21.75454545454545,0.5781818181818181,0.3127272727272727,65.63636363636364
1682.0,33.519546363636366,27.15923090909091,21.818181818181817,21.727272727272727,0.5745454545454546,0.3190909090909091,65.63636363636364
1683.0,33.398804545454546,28.57739727272727,21.818181818181817,21.727272727272727,0.5745454545454546,0.3181818181818182,65.62727272727273
1684.0,33.28973727272727,25.30405909090909,21.818181818181817,21.727272727272727,0.5745454545454546,0.3145454545454545,65.62727272727273
1685.0,32.51824272727273,25.23843,21.818181818181817,21.727272727272727,0.5745454545454546,0.3136363636363636,65.61636363636363
1686.0,31.80650181818181,23.215038181818183,21.818181818181817,21.727272727272727,0.5745454545454546,0.3127272727272727,65.62181818181818
1687.0,30.950194545454544,19.23090909090909,21.818181818181817,21.727272727272727,1.0763636363636364,0.31,65.60909090909091
1688.0,29.689605454545458,19.773702727272727,21.818181818181817,21.727272727272727,0.5745454545454546,0.3054545454545455,65.61818181818181
1689.0,28.88198636363637,19.040454545454544,21.818181818181817,21.71,0.5745454545454546,0.3381818181818182,65.61818181818181
1690.0,27.93761181818182,18.109563636363635,21.755454545454544,21.681818181818183,0.56,0.3527272727272727,65.61818181818181
1691.0,26.790514545454545,18.551208181818183,21.727272727272727,21.681818181818183,1.079090909090909,0.36,65.62454545454545
1692.0,25.965200000000003,20.00123909090909,21.727272727272727,21.681818181818183,0.5809090909090909,0.3163636363636363,65.62727272727273
1693.0,25.312664545454545,19.496914545454544,21.727272727272727,21.681818181818183,0.5818181818181819,0.2981818181818182,65.62727272727273
1694.0,24.87085454545454,20.84186909090909,21.727272727272727,21.681818181818183,0.5818181818181819,0.2990909090909091,65.62727272727273
1695.0,24.718715454545453,22.30208272727273,21.727272727272727,21.681818181818183,1.0836363636363635,0.2990909090909091,65.61818181818181
1696.0,24.53368363636364,23.098846363636365,21.727272727272727,21.667272727272728,0.5818181818181819,0.3,65.61818181818181
1697.0,24.66255727272728,25.905624545454543,21.727272727272727,21.64636363636364,0.5818181818181819,0.2836363636363636,65.61818181818181
1698.0,25.16417909090909,28.75855545454545,21.727272727272727,21.63636363636364,1.0836363636363635,0.2881818181818181,65.61545454545454
1699.0,25.93427,31.97908181818181,21.727272727272727,21.63636363636364,0.5818181818181819,0.29,65.60000000000001
1700.0,27.05694,32.02117454545455,21.727272727272727,21.63636363636364,0.5818181818181819,0.2890909090909091,65.60000000000001
1701.0,28.07069090909091,29.60216090909091,21.727272727272727,21.63636363636364,0.5818181818181819,0.2881818181818181,65.58181818181818
1702.0,28.651175454545456,25.185776363636364,21.727272727272727,21.63636363636364,0.6472727272727273,0.2872727272727273,65.58181818181818
1703.0,28.881153636363635,25.14859909090909,21.727272727272727,21.63636363636364,1.0545454545454545,0.2872727272727273,65.5909090909091
1704.0,28.457623636363635,23.62954545454545,21.727272727272727,21.586767272727272,1.5563636363636362,0.2872727272727273,65.58181818181818
1705.0,27.830564545454543,21.232873636363635,21.727272727272727,21.57771272727273,0.5527272727272727,0.2690909090909091,65.58181818181818
1706.0,27.45602090909091,26.48497727272727,21.727272727272727,21.558839090909093,0.5527272727272727,0.2709090909090909,65.57727272727273
1707.0,27.815414545454544,28.441403636363635,21.727272727272727,21.545454545454547,0.5527272727272727,0.2718181818181818,65.56636363636363
1708.0,28.29063909090909,26.409146363636363,21.727272727272727,21.545454545454547,0.5527272727272727,0.2727272727272727,65.56363636363636
1709.0,28.947254545454545,28.63623727272727,21.727272727272727,21.545454545454547,0.5527272727272727,0.2727272727272727,65.55909090909091
1710.0,29.579722727272724,26.06413090909091,21.727272727272727,21.545454545454547,0.6354545454545455,0.2727272727272727,65.54545454545455
1711.0,29.658758181818182,26.569164545454544,21.727272727272727,21.55909090909091,1.2763636363636364,0.2727272727272727,65.54545454545455
1712.0,29.707061818181817,29.497596363636365,21.727272727272727,21.577272727272728,0.9136363636363636,0.2727272727272727,65.54545454545455
1713.0,30.29506818181818,29.35565,21.727272727272727,21.545454545454547,1.0527272727272727,0.2909090909090909,65.54545454545455
1714.0,30.65971272727273,29.69646,21.727272727272727,21.545454545454547,1.0545454545454545,0.3236363636363636,65.54545454545455
1715.0,30.907819090909086,25.14783272727273,21.727272727272727,21.545454545454547,0.5527272727272727,0.29,65.53636363636363
1716.0,30.27673909090909,21.35508727272727,21.727272727272727,21.545454545454547,0.5527272727272727,0.2836363636363636,65.53636363636363
1717.0,29.443582727272727,23.43855,21.727272727272727,21.545454545454547,0.9854545454545456,0.2836363636363636,65.53181818181818
1718.0,29.00152636363637,25.79749545454545,21.727272727272727,21.545454545454547,0.5381818181818182,0.2836363636363636,65.52727272727272
1719.0,28.67927636363636,25.626866363636363,21.727272727272727,21.545454545454547,0.4836363636363636,0.2836363636363636,65.52727272727272
1720.0,31.290036,25.825709,22.2,22.2,0.532,0.344,65.17
